0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1.37,0.37,1.12,0.25,-1.5,-1.37,-0.12,-0.75,-2.38,-4.38,2,1.25,1.5,-4,-3.13,0.37,-4.75,-2.75,-4.13,-4.13,-2.38,-2.38,-1,1,1,0.88,0.75,1.37,4.25,2.88,3.25,6.63,-5.13,-14.38,0.63,-11.38,1.018456258
1.37,0.25,1.12,0.25,-1.37,-1.12,-0.25,-0.88,-2.5,-4.38,1.88,1.37,1.88,-4,-2.75,-0.37,-4.38,-2.88,-4.75,-3.63,-2.25,-2.5,-0.25,0.88,0.5,1.37,0.75,1.25,4.75,2.63,2.88,-10.5,-0.25,-5,-14.75,-3.25,0.962164576
1.37,-0.25,1.12,0.37,-1.37,-1.25,-0.25,-0.88,-2.5,-4.38,1.75,1.5,0.88,-3.88,-3.13,-5.38,-4.5,-3.13,-4.5,-3.63,-2.25,-1.63,-0.75,0,1,1.25,0.75,1.75,4.38,2.13,3.13,-9.63,-1.5,-5.5,8.13,6.88,0.907717033
1.37,0,1.12,0.37,-1.5,-1.25,-0.25,-0.88,-2.38,-4.25,2,1.37,1.75,-3.88,-2.63,-4.25,-4.75,-3,-4.5,-3.88,-2,-2.13,-1.25,0.25,1.12,1.12,1.12,1.25,3.88,2.5,3.13,-6.5,-10.25,23.87,7.63,-10.13,0.855279339
1.37,-0.37,1.25,0.37,-1.5,-1.25,-0.12,-0.63,-2.38,-4.25,1.75,1.5,1.75,-3.63,-2.75,0.75,-4.63,-3,-4.63,-3.38,-2.38,-2.63,-1,0.5,1.37,1.75,0.5,1.12,4.38,2.5,3.25,-10,12.5,4.88,-10.25,-9.75,0.804774291
1.37,-0.12,1.12,0.25,-1.37,-1.5,0,-0.75,-2.5,-4.38,2.13,1.5,1.37,-3.88,-3,-0.12,-4.63,-3.13,-4,-3.63,-2.63,-2.38,-1,0.25,1.5,1.12,0.37,1.37,4.38,2.88,3.13,27.25,4,-15.13,-5,-23.75,0.756053826
1.5,0.5,1.12,0.25,-1.63,-1.12,0,-0.88,-2.38,-4.25,1.75,1.25,4.5,-4,-2.88,0.25,-4.75,-2.63,-4.63,-3.75,-2.13,-2.13,-0.88,0.88,0.5,1.12,0.75,1.5,4.88,2.63,3,4.13,-9.63,-0.12,-38.63,-19.75,0.709031602
1.37,-0.12,1.12,0.37,-1.25,-1.12,-0.25,-0.63,-2.5,-4.38,1.63,1.5,2.88,-3.88,-3,-2,-4.25,-3,-4.5,-3.75,-2.38,-2.13,-0.75,0.12,0.88,1.37,0.75,1.88,4.38,2.25,3,0.37,-5.5,-17,-3,4.38,0.663748032
1.37,-0.12,1.12,0.63,-1.37,-1.37,-0.12,-0.75,-2.5,-4.13,2,1.88,1.75,-4,-3,-4.63,-4.88,-3.25,-4.5,-3.75,-2,-1.75,-1.25,0.12,0.88,1.25,1.37,1.5,3.75,2.38,3.25,-5.38,-11,-9.75,5.5,4.75,0.620375577
1.37,-0.37,1.25,0.37,-1.37,-1.25,-0.12,-0.88,-2.38,-4.13,2,1.37,1.88,-3.75,-2.88,4.88,-4.75,-3,-4.5,-3.13,-2,-2.75,-1.12,0.5,1,2,1.12,0.75,4.38,2.5,3.13,-14.38,-4.63,1.75,-5.13,-10,0.579201508
1.37,-0.75,1.25,0.12,-1.37,-1.25,-0.25,-0.75,-2.38,-4.13,1.88,1.5,0.5,-3.75,-2.88,4,-4.63,-3,-3.88,-3.5,-2.75,-2.5,-1.12,0.37,1.5,1.5,0,1.37,4.38,2.5,3.25,-0.25,2,-10.5,-1,0.12,0.54064281
1.37,0.37,1.25,0.25,-1.5,-1.37,-0.12,-0.75,-2.38,-4.25,1.75,1.12,1.25,-3.88,-2.88,0,-4.75,-2.75,-4.38,-4,-2.38,-2.25,-1,1.12,1,0.63,0.75,1.25,4.38,3,3.25,6.13,-0.25,-15.75,0.75,-11.25,0.50532953
