0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,rate,p,n
-2,-1.88,0.12,-0.75,-2.38,-0.5,0.37,-0.88,-0.63,-2.75,0.37,0.25,5.75,-3.13,-1.25,0.25,-4.88,-1.63,-2.63,-1,0.88,-0.25,1.5,0.63,-0.25,0.88,0.5,1.75,4.75,1.88,2.75,7,-10,-14.25,-1.75,-9.75,0.785389815,0,0,0
-2.13,-1.88,0.12,-0.63,-2.5,-0.75,0.37,-0.88,-0.88,-2.75,0.88,0.37,4.38,-2.88,-1.25,-5.13,-5,-2.13,-2.38,-1.12,0.63,0.37,1.25,0,0.25,0.75,0.37,1.75,5.25,1.37,2.5,0.12,-9.38,-11.5,-15,17.75,0.764774305,0,0,0
-2,-1.88,0.25,-0.63,-2.63,-0.63,0.63,-0.88,-0.5,-2.5,0.63,-0.12,4.88,-3.13,-1,0,-5.13,-1.75,-2.38,-1.12,1.37,0,0.37,0.63,0.12,1,0.88,2,4.5,1.25,2.88,-0.25,-8,-4.25,10,6.5,0.750945878,1,0,0
-2.13,-1.75,0.25,-0.75,-2.5,-0.63,0.5,-0.88,-0.5,-2.75,0.5,0.25,4.88,-2.63,-1.25,0.75,-5.25,-1.75,-2.38,-0.5,0.75,-0.5,1.12,0.5,0.75,1.12,0.75,1.5,4.5,1.63,2.75,-7,-5.25,32.13,5.63,-10.13,0.742508932,0,0,0
-2,-1.75,0,-0.63,-2.63,-0.63,0.63,-0.75,-0.75,-2.75,0.63,0.25,4.25,-2.75,-1.37,0.63,-5.25,-1.88,-2.13,-1.12,0.5,0,1.12,0.63,0.37,0.5,0.12,1.75,5,1.37,2.88,-13.88,26,4.75,-10.13,-4.25,0.737613073,0,0,0
-2,-1.75,0.12,-0.75,-2.5,-0.37,0.5,-1,-0.63,-2.75,0.63,0.25,12.63,-3,-1.37,0.25,-5,-1.63,-2.5,-1.25,0.88,-0.25,1.37,1.12,-0.25,0.88,0.37,1.75,4.88,1.88,2.88,26.62,3.88,-14.88,0.12,-21.5,0.734349022,0,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.5,0.37,-0.88,-0.63,-2.88,0.63,0.5,3,-2.75,-1.5,-4.63,-5.13,-2.13,-2.63,-1,0.75,0.25,1.63,0.25,0,0.88,0.5,1.63,5.25,1.5,2.5,-6.25,-14.25,-9.38,-21.62,-3.63,0.731172036,1,0,0
-2,-1.88,0.12,-0.63,-2.5,-0.75,0.5,-1,-0.75,-2.63,0.75,0.37,3.88,-2.75,-1,-8.13,-5.38,-1.88,-2.25,-1.12,1.25,0.37,0.88,0.37,0.12,0.75,0.37,2.25,5,1.12,2.75,-9.88,0.25,-26,-4.25,7.13,0.727271467,0,0,0
-2,-1.75,0.25,-0.75,-2.5,-0.5,0.5,-0.88,-0.5,-2.75,0.63,0.12,4.63,-2.75,-1,5.5,-5.25,-1.88,-2.38,-0.5,0.88,-0.5,1.12,0.5,0.12,1.37,1,1.88,4.38,1.5,2.88,-9.88,-14.63,2.38,7.63,-10.5,0.722833845,0,0,1
-2,-1.88,0,-0.75,-2.63,-0.63,0.5,-0.75,-0.75,-2.88,0.75,0,2.25,-2.5,-1.37,-0.12,-5.13,-1.88,-2,-0.88,0.37,0,0.88,0.5,0.75,1,0.5,1.12,5.13,1.5,2.75,-9.75,-3.75,6.5,-10.38,0.37,0.71920656,0,0,0
-2,-1.88,0.12,-0.63,-2.63,-0.5,0.63,-1.12,-0.75,-2.63,0.5,0.12,4.88,-3,-1.37,-0.63,-5.25,-1.5,-2.5,-1.37,0.75,-0.25,0.88,1.12,0.12,0.37,0,1.88,4.88,1.37,2.88,2.25,8.38,-10.13,-9,9.63,0.71899693,1,0,0
-2.13,-1.88,0.12,-0.75,-2.5,-0.75,0.37,-1.12,-0.75,-2.75,0.5,0.25,4.13,-2.63,-1.12,0.12,-4.88,-1.5,-2.63,-1,0.75,-0.37,1.75,0.88,-0.37,1,0.5,1.75,4.88,1.75,2.63,5.75,-5.38,-14.25,-7.13,-15.5,0.725970161,0,0,0
-2,-1.88,0.12,-0.5,-2.5,-0.75,0.5,-0.88,-0.63,-2.63,0.63,0.25,3.88,-2.75,-1.12,-3.13,-5.13,-2.13,-2.38,-1.12,0.75,0,1,0.12,0.12,0.88,0.37,1.75,5.13,1.37,2.63,-10,-9.5,-11.75,-15.5,12.25,0.744209,0,0,0
-2,-1.88,0.25,-0.63,-2.5,-0.63,0.5,-1,-0.63,-2.63,0.63,0.25,4.38,-3,-1.12,0.88,-5.13,-1.88,-2.25,-1.12,1.37,-0.12,0.37,0.63,0.12,1.37,0.88,2.25,4.88,1.25,2.75,-9.75,3.75,-10.25,11.13,6,0.776067618,0,1,0
-2,-1.88,0.25,-0.88,-2.5,-0.5,0.5,-0.88,-0.63,-2.75,0.5,0.12,4.38,-2.88,-1.12,1.5,-5.25,-2,-2.38,-0.88,0.63,-0.63,0.88,0.5,1,1.12,0.75,1.37,4.63,1.5,2.88,-17.75,-14.25,33.5,-0.37,-10.5,0.820060957,1,1,0
-2,-1.88,0,-0.75,-2.5,-0.63,0.63,-0.88,-0.75,-2.63,0.63,0.12,4.5,-2.75,-1.63,0,-5.38,-1.88,-2.25,-1.25,0.5,0.12,1,0.5,0.5,0.63,0.25,1.75,5,1.37,3,-9.88,10.88,0,-0.75,-4.25,0.871162454,0,0,0
-2,-1.88,0.25,-0.75,-2.63,-0.5,0.63,-1,-0.63,-3,0.5,0.12,12.88,-3.13,-1.12,0.37,-5.25,-1.63,-2.63,-1.25,0.88,-0.12,1.25,0.88,-0.12,1,0.5,1.63,4.75,1.88,2.88,26.87,3.75,-14.13,-5,-18.25,0.923558019,0,1,0
-2,-1.75,0.12,-0.75,-2.63,-0.5,0.37,-0.88,-0.63,-2.88,0.75,0.37,4.25,-2.75,-1.25,-6.5,-5.13,-2,-2.63,-1,0.75,0.25,1.37,0.37,0.12,0.88,0.5,1.75,5.38,1.63,2.63,5,-10.13,-9.88,-36.13,-3.25,0.973061136,1,1,0
-2,-1.88,0.12,-0.88,-2.5,-0.63,0.63,-0.88,-0.75,-2.75,0.63,0.25,4.5,-2.63,-1,-3.5,-5.38,-2,-2.38,-1.12,1.25,0.12,0.88,0.5,0.25,0.75,0.5,2.13,5,1.25,2.75,0.63,0.25,-26.25,-4.63,5.25,1.017687289,0,0,0
